11,"[ 0.99251986  2.8251648   6.1749606   1.8564157  -1.7994283  -0.79040265
 -1.2081069   0.62599796 -1.0947196  -1.5331776  -0.12894419 -0.42694783
 -2.0404713  -0.97032934  0.2613411   2.0565996   0.83134985  0.22550677
 -0.35171473  2.4004686   3.3273716  -0.4871427   1.9045541  -0.38427836
  0.24053141  0.5221056   1.7804536   0.08297524 -1.6600409  -0.09676463
 -0.5548927  -1.3841517   0.7720677   1.1273733   0.6637774   0.7207989
 -0.27308527 -1.0212734   0.19660221  0.46380875 -0.9984873   1.4375737
  0.7176141  -0.1925806  -0.18234569  0.78184783 -0.11561443  1.379588
 -0.9428077  -0.31765333 -0.24744461  0.1763606  -0.94587135 -0.13522716
  1.2519292  -0.22641192  0.03724323 -1.3012489   0.85295236  1.0399152
  0.22088791 -0.10392568 -0.16085586  1.4055094   0.73842746 -1.118052
 -0.12494326  0.04530195  0.03446054  0.05064296  0.43688488 -0.22069652
  0.5521987   0.61560434  0.5040212  -0.20629105 -0.6650588  -0.70293957
 -0.33989096 -0.6131349   0.29218853 -0.4183732  -0.01868193 -0.51317585
 -0.45284042 -0.48923835 -0.7877748   0.08106025  0.09829647  0.5313197
 -0.63857067]"
12,"[ 0.7984697   5.5926085  -2.6060987  -0.03833191 -1.6330892  -0.12307479
 -1.5765239   1.7325922  -1.2904117  -1.8578702   1.3665365   3.410853
  0.5180524   0.3924411   3.4972057   0.8998311  -1.3320541   1.9855733
  1.3988575   0.4668141   1.3453801  -0.07329087 -0.17988451  1.1089363
  0.93117464 -1.938778    0.22395957  0.7842655   0.5385655   0.9143066
 -0.87685937 -2.53209     1.6301311   1.0332267  -0.17189653 -0.94776535
 -0.31131998 -0.62139654  1.4147807  -0.3375919  -0.45410413 -0.05266714
 -1.1144943  -0.8385291  -1.392727   -0.768168   -0.30512685 -0.0426169
  0.28353244 -0.89241105 -0.34097764 -0.3179442  -0.84753084  1.9028437
 -0.34452412 -0.10587191 -0.44294202 -0.19385435  0.15591249  1.4145318
 -0.22475503 -0.11613329 -0.8703964   0.33923733  0.0803419  -0.98433757
  0.14781255 -0.07115071 -0.6354673  -0.43075216  0.36219501 -0.20380512
  0.23706828  0.721224   -0.04477226  0.3919939   0.45259443  0.3546182
 -0.17259218 -0.07008268 -0.2183426   0.5908231  -0.26823103  0.40525115
  0.5674719  -0.8818483   0.14337514 -0.12318178  0.12739304  0.05330091
 -0.0526028 ]"
13,"[ 4.695505   -0.00840076 -1.6676298   2.0923731   3.1437724  -2.26902
  3.4998584   2.117318   -0.29025978 -1.8813852   0.8604745  -1.6753892
  4.0029893  -4.0400786   2.016779    2.128705   -1.3036791   0.77557933
 -2.2845426  -1.8667377   3.8908954   1.072059   -0.37050733 -0.3005691
  0.43618485 -0.4316336   1.1817745  -0.4713202   0.23407222  1.3014952
  0.82330084 -0.42634773 -1.481173   -0.5675093  -0.10077342  1.3043482
 -1.4447248  -1.5522237   0.8509481   1.5049071  -0.3217125  -0.40609398
  0.39441407  0.48473144  0.41977534  0.50633     1.006176   -0.24211366
 -0.8619897   1.094593   -0.6889369  -0.16299587  1.2527826   0.11182617
  0.21144192 -0.8218363   0.04120626 -0.43769065  0.13066122 -0.4700246
 -0.6902377   0.4874234  -0.29113826 -0.28258368 -0.185635   -0.23046172
 -0.70180386  0.18183534  0.13773263 -0.02152605 -0.4497778   0.0391031
  0.35083672 -1.0885899   0.06423558  0.9324891  -0.19322442 -0.10220883
 -0.7472154  -0.01449108  0.41320223 -0.2688607  -0.2792274  -0.7373985
 -0.2045353   0.3249544   0.2472657   0.15635017  0.23304802  0.16992846
  0.06301416]"
14,"[ 1.71122313e-01  2.03012848e+00  3.00372958e-01  1.06287992e+00
  8.86394787e+00 -1.75212801e+00  2.19113946e+00 -3.35836887e-01
 -6.37790561e-01 -8.29118788e-02  1.07641304e+00  3.11491847e+00
  2.12067866e+00 -6.97526395e-01  5.37749338e+00 -1.31045759e-01
  1.26804784e-01  1.34094775e+00 -4.66075778e-01  2.00391841e+00
  9.35023606e-01  1.42073560e+00  1.70815229e-01  7.49965727e-01
  1.11570060e+00 -8.09149146e-02  3.13090420e+00  2.14655185e+00
 -2.63115001e+00  1.79047719e-01  4.84211475e-01  6.69468999e-01
 -8.80099475e-01 -2.73813868e+00  6.68815225e-02  3.93316299e-02
 -5.77207327e-01 -3.81145269e-01  7.08838820e-01 -1.91043913e+00
 -1.81734240e+00  1.00653684e+00 -1.25094461e+00  4.91106808e-01
 -4.66003567e-01  2.50228375e-01 -5.58033027e-02  8.24156106e-01
 -7.21546263e-02  4.67142224e-01 -6.89960539e-01 -1.95512474e-01
 -2.19100490e-01  7.06461191e-01 -2.36960962e-01 -1.66239813e-01
 -4.85592848e-03 -1.18043974e-01 -3.45919043e-01 -6.29633665e-01
 -8.63044739e-01  7.91719675e-01 -3.33784848e-01  4.37452257e-01
 -1.39509201e-01  9.28966403e-01 -1.24835363e-02  3.57965469e-01
  9.55648482e-01 -5.20926535e-01  1.60486972e+00  3.89394343e-01
  4.17187124e-01  1.62434384e-01 -6.29137158e-02  6.10354066e-01
 -1.30414395e-02  1.42305708e+00 -6.09769285e-01 -1.81496721e-02
 -7.48602822e-02 -1.88433528e-01 -1.29380107e-01 -1.43023178e-01
  6.60552263e-01  1.83081225e-01  6.81565344e-01  6.92355931e-01
 -7.29431808e-01 -4.25190367e-02  4.77678537e-01]"
15,"[ 1.4365934  -0.62107337  0.8031621   1.8285259   2.7707803  -0.09937266
  2.66736     1.3582393  -0.88704926  0.35695252 -1.27454     1.5500761
 -0.44856355 -1.901578   -0.35332695  0.1719694  -3.8725574  -0.52317196
 -0.35539493 -2.8562603  -2.5536613   1.5192481   2.5193846  -1.673389
 -0.05640951  0.02216862  0.7896874   2.2165103   0.63793695 -0.46765977
  0.40671077 -2.6556926  -2.436907    0.8873009   0.5672636   0.04350143
 -0.5414695   0.06293645 -1.1106474   0.10922201  0.45531783 -0.2504625
  0.41594017 -0.6199538   0.1023945  -0.3509303   0.77239674 -0.5794666
  0.4500204   0.08622231  0.30186772  0.04248674 -0.9838491   0.5410642
 -0.42810348 -0.7531984  -0.4196631   0.9388476   0.33758095  0.3639197
  0.9114871   0.45893064  0.6722574  -0.29345345 -0.29884997 -0.1705098
  0.3886801  -0.2916746  -0.5497476  -0.2806055   0.25140232  0.03015857
  0.8953992  -0.13686907 -0.4469923  -0.2575035  -0.65238637  0.56636703
 -0.2798075  -0.89760596  0.06997238  0.07648631 -0.453423    0.1918975
  0.09772225 -0.9052455  -0.46427304 -0.3455514  -0.16175683 -0.60838574
 -0.3770004 ]"
16,"[ 1.3662224   2.0334141  -1.3587431   0.23830974  4.193474    2.5240848
 -0.08037701  1.0920501  -1.472203   -0.96195835 -1.3124183   4.1922145
 -1.4942309   0.1407695  -3.3427093  -1.6522137  -0.95219666  0.88612604
 -0.18554178  2.0413294  -1.2464775  -0.54638433  0.64175993 -0.02116819
 -1.030945   -0.15834528  0.7785667   0.8803651   1.0807059   1.5607693
  2.322931   -0.18048559 -1.0343682   0.34669155 -1.4200102   0.32567838
  0.37827203 -0.4422026  -0.07103132  1.4762232   0.11342943 -1.2809466
 -0.07349551 -0.12855469  0.5936803  -0.11480469 -0.80294627  0.85905856
 -2.0224621   0.5920183   0.91638285 -0.05870102  0.03456032 -0.7785222
 -0.01209665 -0.71088034 -0.567312   -0.30991596 -0.841676    0.16543713
  0.43262306  0.41889763 -0.38449907  0.66567546 -0.46102563  0.09906311
  0.666787   -0.4449506  -1.1508534  -0.01074049 -0.14939004 -0.00620309
 -0.10298882 -0.03216812  0.29529935 -0.48281828 -0.70655704  0.17921147
 -0.07257717  0.2295321   0.14719033  0.29848355  0.55381656  0.31697488
 -0.38715565 -0.27266404 -0.638236   -0.7618029  -0.88923734  0.0761897
  0.5226266 ]"
17,"[-5.989882    0.1835393   2.7745886   2.0852382   2.3416874   1.8926868
  0.19679968 -0.12022351  1.9688963   0.77159643  1.7452362   1.9485159
  0.77081126 -0.39704236 -0.78563917 -0.9174221  -0.9752915  -2.2844582
  2.7191715  -0.06886668  1.5130813  -1.9897318  -0.5484948  -0.6130445
 -0.68656874 -0.08262604  1.0694149  -0.21985283  0.8658997  -0.95011777
  0.65079135  0.2109704  -0.3171397  -0.85356116 -0.3078564  -1.1160347
 -1.3230987  -0.58573925  1.0155529  -0.5629689  -1.7016636  -0.14287356
  0.37419042  0.69415843  0.43211132 -1.5515927   0.12989111  0.07907476
  1.194283   -0.1602247  -0.7048268   0.6931605  -0.7592672   2.2522464
  0.9865      0.1535944  -0.556801    0.14579464  1.2082853   0.18552884
  0.12903424  1.1150953   0.5281977  -0.60875785  0.66005653  0.6151187
  0.354186    0.06970705  0.3085753   0.10730022 -0.19901857 -0.53220403
  0.16593061 -0.63127166 -0.40205193 -0.09563043  0.64459634 -0.01305406
 -0.42892787 -0.18830143 -0.2564323   0.47822613 -0.388519   -0.0496112
 -0.05989217  0.41193372 -0.81420124  0.5743453   0.342811   -0.41028172
  0.21225129]"
18,"[ 1.8094336   1.4235221  -1.7988387  -2.1584566  -2.432251    3.4982936
  0.06720407  1.5981414   3.8611145  -2.8888805  -1.5273062  -1.2103206
  1.8412993  -1.5863978  -0.14375809  2.4814968   2.1176405  -1.0113174
 -2.8910189   1.8199651  -0.40829012 -0.96220475  1.2112747  -0.27735093
 -2.1735625  -1.2246366  -0.45724243  0.54379916  1.008353   -0.9584417
 -1.7459372   0.28806785 -0.05147601 -0.80640805  0.569296   -0.33232805
 -0.7579067   1.1087161  -0.2012199  -0.13517202  0.11779254 -0.44889644
 -0.46818906 -1.0149101  -0.6028116  -0.9508165  -0.5072574   0.31923872
  0.2823485  -1.5743803   0.6620668   0.10024133  0.5392297  -0.40435216
 -0.9061388   0.6826805  -0.54384416  0.66620594 -0.65814906  0.20823066
 -0.26672694  0.0566329   0.67220294  0.05883543  1.0212091  -0.11975166
  0.14778462  0.09720741  0.48673975  0.5272535   0.2197998  -0.66243714
  0.68324167 -0.49572733 -0.10685001 -0.53101176 -0.41760203  0.18978746
 -0.36429644  0.6436416  -0.3279296   1.0815071   0.33521143  0.04936996
  0.8109864   0.18344626 -0.14213724  0.09902556  0.07995812 -0.16055323
  0.10690733]"
19,"[ 3.1834483  -4.6147966   2.208308    3.7950504  -1.7868893  -1.5716957
  2.6552868  -2.3274693  -1.7390037  -0.41996735  0.6078243  -1.0810417
  2.4595344  -0.28677636 -2.7296143   0.31844032  0.63672316  0.31190073
  0.614181    1.967313   -1.1901791  -0.4730803  -0.6163848   2.5590637
  0.48176184 -1.8540307   0.46702155 -0.1373612  -0.7486319   0.6372503
 -0.37625772 -0.5941466  -0.12487278  0.22435151  0.5778415   0.22677857
 -0.90209216 -0.13581946  1.6177474   0.5099997   1.1245381   0.52985966
 -0.29929823 -1.1074132   0.49865308  0.08261763 -0.7176359  -0.296996
 -0.76214993  1.470242   -0.878707    0.08205512 -0.36613643 -0.3195827
 -1.3590591  -0.9583366  -0.7658149  -1.1735226   0.09347213 -0.4455046
  0.01999625 -0.5878643  -0.977617   -0.43425435  0.29018843  0.5957202
 -0.18619323 -0.03914428  0.18734623 -0.36965623  0.01628772 -0.11595458
  0.6037123   0.4958911  -0.40122372 -0.7255697   0.32249025 -0.39992478
  0.24942967  0.27643687  0.586844    0.25056794  0.2722422  -0.10722182
 -0.2858543   0.07775818 -0.12560618 -0.15459804  0.13552329 -0.31901768
  0.5444832 ]"
20,"[ 2.289098   -2.7377722  -5.360507    3.214859   -1.5831155  -0.09133686
 -2.7553225  -0.25243747  0.95909756 -0.7803706  -0.47151986 -0.502886
  0.2008303   0.56642175  0.0653562   2.3284705   1.4530759  -0.8262604
 -1.0136697   0.28665024  0.63114434  0.7389079   0.40071306 -2.0624812
  0.15166643  0.843107   -0.48672667  0.19297963  0.03919578 -1.0483053
  2.0307605  -0.67034763  0.19599038  0.61666024  0.46095133  1.3453382
 -0.4272448  -2.2462943  -0.7746004  -1.4621419  -0.61358416  0.8710742
 -0.6388286   0.21641998  0.77071655  0.04187586 -0.17074884 -0.21676438
  0.10396935 -1.3004806  -1.1467136  -0.2798909  -0.31612617 -0.15128355
  0.45707756 -0.34091136 -0.49803525  0.79863375  0.6157582  -0.53088945
 -0.24181145 -0.41849843  0.48416772  0.80282176 -0.55024916 -0.12917207
 -0.6464076  -0.23498109  0.35382956  0.0132885  -0.27780825 -1.1601721
  0.810468    0.49443743 -0.3128312  -0.09432984  0.550552   -0.41234478
 -0.02245895  0.32095098 -0.6351955  -0.08144672 -0.08568932 -0.7136625
 -0.44616285 -0.3328883   0.24943924  0.20291059  0.3668063   0.1688686
  0.55492175]"
