num,type,position,size,angle,response,octave,class_id
example = ,< cv2.KeyPoint 000001D3F5BA36F0>
132,<class 'cv2.KeyPoint'>,"(71.82636260986328, 30.89478302001953)",7.590407848358154,145.34811401367188,0.006610579788684845,1,-1
133,<class 'cv2.KeyPoint'>,"(72.63570404052734, 749.359619140625)",6.588528633117676,161.39358520507812,0.008857650682330132,5,-1
134,<class 'cv2.KeyPoint'>,"(72.72162628173828, 170.07159423828125)",7.496828556060791,337.16705322265625,0.006224695593118668,1,-1
135,<class 'cv2.KeyPoint'>,"(72.95288848876953, 110.90177917480469)",6.439802646636963,149.1487274169922,0.01196544710546732,5,-1
136,<class 'cv2.KeyPoint'>,"(72.95288848876953, 110.90177917480469)",6.439802646636963,187.37442016601562,0.01196544710546732,5,-1
137,<class 'cv2.KeyPoint'>,"(73.98460388183594, 512.3451538085938)",19.800138473510742,130.12545776367188,0.00885365903377533,3,-1
138,<class 'cv2.KeyPoint'>,"(75.71275329589844, 147.854248046875)",10.651339530944824,160.24868774414062,0.014959069900214672,4,-1
139,<class 'cv2.KeyPoint'>,"(75.71275329589844, 147.854248046875)",10.651339530944824,348.38153076171875,0.014959069900214672,4,-1
140,<class 'cv2.KeyPoint'>,"(76.18595886230469, 599.5985107421875)",6.14148473739624,339.6087646484375,0.008822346106171608,5,-1
141,<class 'cv2.KeyPoint'>,"(77.05475616455078, 101.52012634277344)",6.528078556060791,217.85086059570312,0.0073040141724050045,5,-1
142,<class 'cv2.KeyPoint'>,"(77.05475616455078, 101.52012634277344)",6.528078556060791,247.21214294433594,0.0073040141724050045,5,-1
143,<class 'cv2.KeyPoint'>,"(77.25696563720703, 574.4024047851562)",7.633467197418213,159.19125366210938,0.008581646718084812,1,-1
144,<class 'cv2.KeyPoint'>,"(77.64556884765625, 44.112152099609375)",8.333660125732422,138.4473419189453,0.0061662811785936356,2,-1
145,<class 'cv2.KeyPoint'>,"(77.94975280761719, 538.8466186523438)",10.411482810974121,129.30178833007812,0.00987484585493803,4,-1
146,<class 'cv2.KeyPoint'>,"(78.92121124267578, 682.3665771484375)",8.873791694641113,61.567108154296875,0.009907982312142849,2,-1
147,<class 'cv2.KeyPoint'>,"(79.80421447753906, 617.7293090820312)",8.302362442016602,163.73411560058594,0.007519257254898548,2,-1
148,<class 'cv2.KeyPoint'>,"(79.80421447753906, 617.7293090820312)",8.302362442016602,355.19305419921875,0.007519257254898548,2,-1
149,<class 'cv2.KeyPoint'>,"(80.15020751953125, 589.3174438476562)",6.7726569175720215,167.84945678710938,0.007200866471976042,5,-1
150,<class 'cv2.KeyPoint'>,"(80.15020751953125, 589.3174438476562)",6.7726569175720215,333.6994323730469,0.007200866471976042,5,-1
151,<class 'cv2.KeyPoint'>,"(82.24192810058594, 166.35336303710938)",11.3328275680542,336.9585266113281,0.014451796188950539,4,-1
152,<class 'cv2.KeyPoint'>,"(82.2507095336914, 194.91998291015625)",5.6253814697265625,346.64141845703125,0.006196142639964819,4,-1
153,<class 'cv2.KeyPoint'>,"(82.26078033447266, 91.64305114746094)",11.542899131774902,224.17881774902344,0.0072726234793663025,4,-1
154,<class 'cv2.KeyPoint'>,"(83.31697845458984, 10.813220024108887)",5.496920108795166,91.947021484375,0.006995768286287785,4,-1
155,<class 'cv2.KeyPoint'>,"(83.31697845458984, 10.813220024108887)",5.496920108795166,286.1922912597656,0.006995768286287785,4,-1
156,<class 'cv2.KeyPoint'>,"(83.35663604736328, 65.1946792602539)",6.814856052398682,297.0017395019531,0.006044465582817793,5,-1
157,<class 'cv2.KeyPoint'>,"(84.02828216552734, 134.18783569335938)",8.804900169372559,165.4823455810547,0.008605643175542355,2,-1
158,<class 'cv2.KeyPoint'>,"(84.86520385742188, 599.71533203125)",6.624741554260254,341.2442321777344,0.0076905894093215466,5,-1
159,<class 'cv2.KeyPoint'>,"(85.87934112548828, 549.3936767578125)",7.375683784484863,230.66558837890625,0.006344568450003862,1,-1
160,<class 'cv2.KeyPoint'>,"(85.9189453125, 205.07147216796875)",5.3522162437438965,349.49420166015625,0.010851837694644928,4,-1
161,<class 'cv2.KeyPoint'>,"(86.03298950195312, 183.43714904785156)",6.922863960266113,168.65054321289062,0.00956383440643549,1,-1
162,<class 'cv2.KeyPoint'>,"(86.03298950195312, 183.43714904785156)",6.922863960266113,339.9295654296875,0.00956383440643549,1,-1
163,<class 'cv2.KeyPoint'>,"(88.75798034667969, 382.9216003417969)",16.2363338470459,20.72540283203125,0.00717289699241519,2,-1
164,<class 'cv2.KeyPoint'>,"(88.75798034667969, 382.9216003417969)",16.2363338470459,280.6310729980469,0.00717289699241519,2,-1
165,<class 'cv2.KeyPoint'>,"(89.45780944824219, 103.25758361816406)",7.462352275848389,223.2837371826172,0.008592939004302025,1,-1
166,<class 'cv2.KeyPoint'>,"(89.60560607910156, 614.8776245117188)",7.600992679595947,337.5577392578125,0.008909602649509907,1,-1
167,<class 'cv2.KeyPoint'>,"(89.60618591308594, 38.06159973144531)",11.263590812683105,130.61880493164062,0.008298558183014393,4,-1
168,<class 'cv2.KeyPoint'>,"(89.77357482910156, 151.4580841064453)",10.149768829345703,158.07223510742188,0.0078013925813138485,3,-1
169,<class 'cv2.KeyPoint'>,"(90.13861846923828, 686.1104736328125)",8.669816970825195,58.6971435546875,0.015802478417754173,2,-1
170,<class 'cv2.KeyPoint'>,"(90.30400848388672, 722.0743408203125)",13.274653434753418,257.18548583984375,0.012178463861346245,5,-1
171,<class 'cv2.KeyPoint'>,"(90.3078384399414, 706.25390625)",12.265284538269043,258.2192077636719,0.02309420332312584,5,-1
172,<class 'cv2.KeyPoint'>,"(92.67987823486328, 55.96987533569336)",10.403986930847168,102.00875854492188,0.006669650319963694,4,-1
173,<class 'cv2.KeyPoint'>,"(93.17504119873047, 201.37640380859375)",7.3983659744262695,349.82110595703125,0.015386187471449375,1,-1
174,<class 'cv2.KeyPoint'>,"(93.258056640625, 227.346923828125)",5.993004322052002,347.2911682128906,0.00975846592336893,5,-1
175,<class 'cv2.KeyPoint'>,"(93.2806396484375, 527.8543701171875)",13.63921070098877,312.0852355957031,0.0060515389777719975,5,-1
176,<class 'cv2.KeyPoint'>,"(93.54046630859375, 479.9096374511719)",5.692276954650879,4.7908935546875,0.006524993572384119,4,-1
177,<class 'cv2.KeyPoint'>,"(93.54046630859375, 479.9096374511719)",5.692276954650879,87.9609375,0.006524993572384119,4,-1
178,<class 'cv2.KeyPoint'>,"(93.71734619140625, 627.8919067382812)",7.208655834197998,339.90948486328125,0.007913168519735336,1,-1
179,<class 'cv2.KeyPoint'>,"(94.45890045166016, 462.2808837890625)",8.557684898376465,303.0040588378906,0.00799882784485817,2,-1
180,<class 'cv2.KeyPoint'>,"(97.22164916992188, 185.74400329589844)",8.484553337097168,27.506744384765625,0.011124277487397194,2,-1
181,<class 'cv2.KeyPoint'>,"(97.22164916992188, 185.74400329589844)",8.484553337097168,127.22610473632812,0.011124277487397194,2,-1
182,<class 'cv2.KeyPoint'>,"(97.22164916992188, 185.74400329589844)",8.484553337097168,161.36782836914062,0.011124277487397194,2,-1
183,<class 'cv2.KeyPoint'>,"(97.26567840576172, 444.8013000488281)",16.17854881286621,358.2675476074219,0.007061390671879053,2,-1
184,<class 'cv2.KeyPoint'>,"(99.31940460205078, 550.150146484375)",29.08661460876465,155.62660217285156,0.007262467406690121,1,-1
185,<class 'cv2.KeyPoint'>,"(99.57069396972656, 693.991455078125)",8.14078140258789,120.765625,0.017717059701681137,2,-1
186,<class 'cv2.KeyPoint'>,"(100.13346099853516, 225.7359619140625)",5.532811641693115,348.440185546875,0.0129341846331954,4,-1
187,<class 'cv2.KeyPoint'>,"(100.19148254394531, 31.82463264465332)",7.655540466308594,333.12982177734375,0.006119991187006235,1,-1
188,<class 'cv2.KeyPoint'>,"(101.06436157226562, 205.68824768066406)",5.9441914558410645,160.73219299316406,0.009946154430508614,4,-1
189,<class 'cv2.KeyPoint'>,"(102.64419555664062, 82.54676055908203)",8.017374038696289,355.415283203125,0.0077311028726398945,2,-1
190,<class 'cv2.KeyPoint'>,"(103.88665008544922, 552.1419677734375)",6.2887043952941895,50.7039794921875,0.006936428602784872,5,-1
191,<class 'cv2.KeyPoint'>,"(104.4643783569336, 517.3853149414062)",9.646605491638184,310.975341796875,0.008321617729961872,3,-1
192,<class 'cv2.KeyPoint'>,"(104.5660171508789, 630.2727661132812)",8.123910903930664,337.9486389160156,0.008795340545475483,2,-1
193,<class 'cv2.KeyPoint'>,"(107.03211212158203, 313.52105712890625)",18.909927368164062,344.1755676269531,0.01153840497136116,3,-1
194,<class 'cv2.KeyPoint'>,"(109.94837951660156, 367.5692443847656)",8.444677352905273,56.427398681640625,0.007136449683457613,2,-1
195,<class 'cv2.KeyPoint'>,"(110.31981658935547, 217.77769470214844)",9.977335929870605,154.15231323242188,0.006605715956538916,3,-1
196,<class 'cv2.KeyPoint'>,"(110.45865631103516, 356.12322998046875)",5.577902793884277,125.98326110839844,0.006278666201978922,4,-1
197,<class 'cv2.KeyPoint'>,"(110.45865631103516, 356.12322998046875)",5.577902793884277,298.6141052246094,0.006278666201978922,4,-1
198,<class 'cv2.KeyPoint'>,"(111.82693481445312, 54.63003921508789)",9.232857704162598,277.3089599609375,0.006734451279044151,3,-1
199,<class 'cv2.KeyPoint'>,"(112.24880981445312, 188.67611694335938)",11.334994316101074,167.160400390625,0.00848434679210186,4,-1
200,<class 'cv2.KeyPoint'>,"(112.4111099243164, 97.82400512695312)",8.809077262878418,289.709228515625,0.006098233163356781,2,-1
